Timing trial for BadHashFunctor()
Hashes	Total time (s)	Average Time (ns)
1000	7.63926E-4	7.63926
2500	0.001937035	7.74814
5000	0.003831232	7.662464
7500	0.005679026	7.572034666666666
10000	0.00787085	7.87085
12500	0.009685175	7.74814
15000	0.011834611	7.8897406666666665
17500	0.013113471	7.493412
20000	0.015597571	7.7987855
22500	0.017253934	7.668415111111111
25000	0.019250318	7.7001272
27500	0.021124435	7.681612727272728
30000	0.022676829	7.558943
32500	0.024813771	7.635006461538461
35000	0.026829786	7.665653142857143
Finished BadHashFunction timing!

Timing trial for FairHashFunctor()
Hashes	Total time (s)	Average Time (ns)
1000	0.004876277	48.76277
2500	0.012350438	49.401752
5000	0.024931573	49.863146
7500	0.036799648	49.066197333333335
10000	0.049567748	49.567748
12500	0.06100924	48.807392
15000	0.073423487	48.94899133333333
17500	0.085537877	48.878786857142856
20000	0.098571029	49.2855145
22500	0.109363719	48.60609733333333
25000	0.121494172	48.5976688
27500	0.135375587	49.22748618181818
30000	0.147037064	49.01235466666667
32500	0.158464275	48.75823846153846
35000	0.169398417	48.39954771428572
Finished FairHashFunction timing!

Timing trial for GoodHashFunctor() #1
Hashes	Total time (s)	Average Time (ns)
1000	0.290611471	2906.11471
2500	0.683996905	2735.98762
5000	1.323627186	2647.254372
7500	1.983605036	2644.8067146666667
10000	2.641010882	2641.010882
12500	3.293423095	2634.738476
15000	3.973631603	2649.0877353333335
17500	4.613271702	2636.1552582857144
20000	5.268843589	2634.4217945
22500	5.896122092	2620.4987075555555
25000	6.554907646	2621.9630584
27500	39.707802667	14439.200969818181
30000	56.213283571	18737.761190333335
32500	85.652340818	26354.566405538462
35000	156.419641382	44691.32610914286
Finished GoodHashFunction timing!

Timing trial for GoodHashFunctor() #2
Hashes	Total time (s)	Average Time (ns)
0	0.0	NaN
1000	0.287230472	2872.30472
2000	0.550929607	2754.648035
3000	0.805364798	2684.5493266666667
4000	1.067712336	2669.28084
5000	1.314909859	2629.819718
6000	1.589333859	2648.889765
7000	1.840674969	2629.53567
8000	2.093010699	2616.2633737500005
9000	2.354643843	2616.270936666667
10000	2.631016031	2631.016031
11000	2.8904038	2627.639818181818
12000	3.144499865	2620.4165541666666
13000	3.404876455	2619.1357346153845
14000	3.648566701	2606.119072142857
15000	3.854179329	2569.452886
16000	4.190308222	2618.94263875
17000	4.456147421	2621.2631888235296
18000	4.710811074	2617.1172633333335
19000	4.961184335	2611.14965
20000	5.248654874	2624.327437
21000	5.434641021	2587.9242957142856
22000	5.70926314	2595.1196090909093
23000	5.980051351	2600.022326521739
24000	6.227909277	2594.96219875
25000	6.499779568	2599.9118272
26000	6.752670841	2597.1810926923076
27000	36.777486397	13621.291258148149
28000	42.419728394	15149.902997857143
29000	48.516392733	16729.79059758621
30000	56.08995544	18696.651813333334
31000	65.724890163	21201.577471935485
32000	78.26069519	24456.467246875
33000	95.100890919	28818.451793636363
34000	118.68770409	34908.148261764705
35000	156.333774643	44666.79275514286
Finished GoodHashFunction timing!
