Timing trial for BadHash with ProbingTable 1
Hashes	Total time (s)	Average Time (ns)	Collisions
200	0.624593161	31229.65805	13788572
400	2.611249884	65281.2471	55238938
600	6.595389044	109923.15073333333	124660251
800	13.007732969	162596.6621125	220822184
1000	22.84112922	228411.2922	345608400
1200	35.994778351	299956.4862583333	497087578
1400	53.394042268	381386.0162	678105637
1600	75.086312066	469289.4504125	881809047
1800	101.758736292	565326.3127333333	1121138176
2000	132.483980305	662419.9015249999	1391765177

Timing trial for BadHash with ProbingTable 2
Initial capacity	Total time (s)	Average Time (ns)	Collisions
100000	0.118956973	118.956973	760920
110000	0.116672333	106.06575727272727	761378
120000	0.116538468	97.11539	760065
130000	0.116451456	89.57804307692308	760361
140000	0.116587999	83.27714214285714	761519
150000	0.114895045	76.59669666666667	759735
160000	0.115436308	72.1476925	762314
170000	0.11761921	69.1877705882353	761787
180000	0.115632645	64.24035833333333	760478
190000	0.117125692	61.64510105263158	760888
200000	0.116319374	58.159687	760597
210000	0.117732994	56.06333047619048	762354
