Timing trial for PriorityQueueHEAP add()
Adds	Total time (s)	Average Time (ns)
1000	0.962468887	96.2468887
2000	1.926390651	96.31953255
3000	2.977833842	99.26112806666667
4000	3.836313748	95.9078437
5000	4.730513138	94.61026276
6000	5.918991072	98.6498512
7000	6.820984491	97.44263558571429
8000	7.706448337	96.3306042125
9000	8.603672615	95.59636238888889
10000	9.485412798	94.85412798
11000	10.99995047	99.99954972727272
12000	11.885028786	99.04190655
13000	12.784890191	98.34530916153847
14000	13.723390214	98.02421581428571
15000	14.58933083	97.26220553333333
16000	15.473575615	96.70984759375
17000	16.409451896	96.52618762352941
18000	17.378278896	96.54599386666666
19000	18.230434604	95.94965581052631
20000	19.16742196	95.8371098
21000	21.261104273	101.24335368095238
22000	22.183869431	100.83577014090909
23000	23.094387781	100.41038165652174
24000	23.956479795	99.8186658125
25000	24.923498733	99.693994932
26000	25.990551852	99.96366096923077
27000	26.696382627	98.87549121111111
28000	27.646657808	98.7380636
29000	28.720044943	99.03463773448276
30000	29.489708059	98.29902686333334
31000	30.396216724	98.05231201290323
